confusion_group,earliest_recovery_stage,mechanism_candidate,n_events
detector_false_negative,p2_support_presence,retrieval_coverage_failure,2
detector_false_negative,p4_evidence_only,evidence_extraction_or_context_complexity_failure,4
detector_false_negative,p5_fact_card,evidence_utilization_or_answer_realization_failure,6
detector_false_positive,p1_natural,no_degradation_on_probe_rerun,41
detector_false_positive,p5_fact_card,evidence_utilization_or_answer_realization_failure,1
detector_true_negative_control,p1_natural,no_degradation_on_probe_rerun,39
detector_true_negative_control,p4_evidence_only,evidence_extraction_or_context_complexity_failure,2
detector_true_negative_control,p5_fact_card,evidence_utilization_or_answer_realization_failure,1
detector_true_positive,p1_natural,no_degradation_on_probe_rerun,5
detector_true_positive,p2_support_presence,retrieval_coverage_failure,2
detector_true_positive,p2_support_presence,stochastic_recovery_without_context_change,1
detector_true_positive,p3_support_first,ranking_or_position_sensitivity,1
detector_true_positive,p4_evidence_only,evidence_extraction_or_context_complexity_failure,8
detector_true_positive,p5_fact_card,evidence_utilization_or_answer_realization_failure,31
